City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Druzhba,UA,2021-05-26 01:13:27,52.0428,33.9453,53.06,83,8,7.47
254,Asfi,MA,2021-05-26 01:09:50,32.2994,-9.2372,62.87,84,100,9.19
255,Khatanga,RU,2021-05-26 01:13:27,71.9667,102.5,31.91,99,100,4.9
256,Baykit,RU,2021-05-26 01:13:28,61.67,96.37,32.52,69,100,9.73
257,Mount Gambier,AU,2021-05-26 01:13:28,-37.8333,140.7667,54.09,65,94,11.34
258,Toamasina,MG,2021-05-26 01:13:28,-18.1667,49.3833,68.18,86,29,7.27
259,Guilin,CN,2021-05-26 01:13:29,25.2819,110.2864,73.6,96,100,0.81
260,Pouembout,NC,2021-05-26 01:13:29,-21.1333,164.9,75.38,46,39,9.71
261,Poltavka,RU,2021-05-26 01:13:29,54.3663,71.7632,76.03,35,14,6.38
262,Asau,RO,2021-05-26 01:13:30,46.4333,26.4,59.76,100,6,4.72
263,Changli,CN,2021-05-26 01:13:30,39.7042,119.1506,74.95,34,100,8.75
264,Shelburne,CA,2021-05-26 01:12:48,44.0787,-80.2041,76.28,76,100,11.59
265,Pozo Colorado,PY,2021-05-26 01:13:30,-23.4923,-58.7972,65.21,37,100,4.07
266,Christchurch,NZ,2021-05-26 01:11:52,-43.5333,172.6333,58.03,77,13,4.0
267,Banda Aceh,ID,2021-05-26 01:13:31,5.5577,95.3222,82.13,77,91,5.82
268,Porto De Moz,BR,2021-05-26 01:13:31,-1.7483,-52.2383,76.44,85,87,2.59
269,Bundaberg,AU,2021-05-26 01:11:37,-24.85,152.35,75.49,53,0,3.44
270,Port Macquarie,AU,2021-05-26 01:12:27,-31.4333,152.9167,69.76,52,53,4.54
271,Ndele,CF,2021-05-26 01:13:32,8.4109,20.6473,77.58,57,94,5.01
272,Toora-Khem,RU,2021-05-26 01:13:32,52.4675,96.11,50.25,90,100,3.94
273,Muravlenko,RU,2021-05-26 01:13:32,63.7898,74.523,44.28,54,98,8.12
274,Caravelas,BR,2021-05-26 01:13:33,-17.7125,-39.2481,74.25,89,95,7.67
275,Ngunguru,NZ,2021-05-26 01:13:33,-35.6167,174.5,58.15,71,100,20.47
276,Komsomolskiy,UZ,2021-05-26 01:13:34,40.4272,71.7189,71.02,38,82,2.15
277,Anadyr,RU,2021-05-26 01:12:25,64.75,177.4833,48.7,57,40,24.0
278,Anchorage,US,2021-05-26 01:13:01,61.2181,-149.9003,76.57,29,1,9.22
279,Razvilnoye,RU,2021-05-26 01:13:34,46.2387,41.2987,56.26,92,11,5.23
280,Norman Wells,CA,2021-05-26 01:13:35,65.282,-126.8329,59.02,26,90,6.55
281,Havre-Saint-Pierre,CA,2021-05-26 01:09:44,50.2334,-63.5986,44.69,95,100,5.97
282,Berdigestyakh,RU,2021-05-26 01:13:35,62.0989,126.6992,58.6,33,62,6.46
283,Belyy Yar,RU,2021-05-26 01:13:35,53.6039,91.3903,58.89,77,40,7.56
284,Yerbogachen,RU,2021-05-26 01:13:36,61.2767,108.0108,40.66,52,97,6.51
285,Namibe,AO,2021-05-26 01:13:36,-15.1961,12.1522,74.8,64,0,3.31
286,Saint-Joseph,RE,2021-05-26 01:13:36,-21.3667,55.6167,71.96,82,18,8.08
287,Colares,PT,2021-05-26 01:13:36,38.7992,-9.4469,63.34,64,100,17.25
288,Krosno Odrzanskie,PL,2021-05-26 01:13:37,52.0549,15.0988,46.63,83,82,11.36
289,Aklavik,CA,2021-05-26 01:13:37,68.2191,-135.0107,37.65,70,100,7.74
290,Honningsvag,NO,2021-05-26 01:13:38,70.9821,25.9704,36.86,70,96,3.29
291,Springfield,US,2021-05-26 01:13:38,37.2153,-93.2982,70.52,95,20,3.0
292,Hambantota,LK,2021-05-26 01:13:38,6.1241,81.1185,80.62,80,100,18.32
